Comedian,Artist Popularity,First Album Popularity,Second Album Popularity,First Album Release Date,Second Album Release Date,Artist URL,slumpiness
Louis C.K.,46,37.0,36.0,2001-10-01,2007-01-13,https://open.spotify.com/artist/4fQii15cX3Q0ZkjCdsIxkZ,1.0277777777777777
Mike Birbiglia,38,44.0,41.0,2006-02-07,2007-09-25,https://open.spotify.com/artist/7LA4bHpsuQA1bNuxHpqeIT,1.0731707317073171
Mitch Hedberg,37,38.0,44.0,1999-01-01,2003-12-09,https://open.spotify.com/artist/4njlfhIxklOkrds9Y9o5ZZ,0.8636363636363636
Daniel Tosh,37,38.0,42.0,2005-11-08,2011-03-08,https://open.spotify.com/artist/2RQsqlGDunlzpIEm43kSlM,0.9047619047619048
Jim Gaffigan,50,39.0,50.0,2004-12-07,2006-02-07,https://open.spotify.com/artist/0f4zEF6vddRYg7Y3GDL8lk,0.78
John Mulaney,49,50.0,50.0,2009-03-24,2012-01-28,https://open.spotify.com/artist/5K6CrtQfpRipgTDZbaSj7k,1.0
Tom Segura,47,46.0,52.0,2010-05-11,2014-03-18,https://open.spotify.com/artist/35RBpU3B1LxkEkKXYHDUqq,0.8846153846153846
Brian Regan,41,49.0,39.0,1997-10-28,2007,https://open.spotify.com/artist/566AijAv3pxSbRYM0kgyYf,1.2564102564102564
Aziz Ansari,38,47.0,34.0,2010-01-19,2012-05-20,https://open.spotify.com/artist/69aNbZCZeKidReZrAyXFdP,1.3823529411764706
Patton Oswalt,37,46.0,36.0,2011-09-19,2014-04-08,https://open.spotify.com/artist/6YvKo1VtZxCoT8IkbAYswy,1.2777777777777777
Joe Rogan,36,38.0,41.0,2007-04-10,2010-03-30,https://open.spotify.com/artist/0bawsIe2P8ykB6psGv81P9,0.926829268292683
Anthony Jeselnik,37,42.0,42.0,2010-09-21,2013-01-15,https://open.spotify.com/artist/4AF9rlxnZLtau1tmBTzqaj,1.0
Jeff Foxworthy,35,30.0,20.0,1990-01-01,1990-01-01,https://open.spotify.com/artist/7zOcRYg1BYXpwr71XTWNr7,1.5
George Lopez,37,28.0,28.0,2001-08-07,2003-06-03,https://open.spotify.com/artist/6emrXi84Xjdb8YcEm82XEZ,1.0
Eddie Murphy,43,31.0,52.0,1983-04-11,1985-02-05,https://open.spotify.com/artist/1Zq8pfBl4ejCMrWdeAdphc,0.5961538461538461
Demetri Martin,29,37.0,37.0,2006-09-26,2012-10-02,https://open.spotify.com/artist/0R3LOh6h1gCLS3fPXN6yB9,1.0
